word	value
immune	0.41898752923862614
system	0.31752082069649534
relaxes	0.26520304230709824
smiling	0.24100959369071545
body	0.2317357662564266
helps	0.21554413954222254
colds	0.21080583412632337
fight	0.20993112112164983
boost	0.20905640811697626
balances	0.1905145489426199
sick	0.1836897309814436
today	0.1320816637057047
vaccines	0.13120695070103114
don	0.1242092466636428
year	0.11371269060756033
night	0.10195863862163224
jayme	0.09963481961531852
time	0.09534371750941596
swine	0.09359429150006887
reuse	0.08378019462597021
