word	value
season	0.2593341170898922
york	0.24126992883401294
city	0.23808265567619047
health	0.223184512889483
vaccines	0.21218245943718453
year	0.2083654204843463
succeeded	0.1774072228959791
immune	0.16480627008136872
children	0.15582500195704346
pregnant	0.1524570264104215
fired	0.14044809686438928
mandatory	0.1371888705990685
nurse	0.1343406518942571
system	0.1151847636944716
require	0.11380033215926512
sick	0.11271491496028216
nyc	0.10643361203276294
lawsuits	0.10614184635338698
protest	0.10298017433434992
bloomberg	0.10263829653734147
