word	value
swine	0.27885942886696324
blasts	0.2674111188718354
immune	0.23743465863672594
killed	0.21046004814952385
system	0.20611349090166847
cdc	0.19803060890552462
vaccines	0.18590628591130884
hopkins	0.16605719006166156
johns	0.14945147105549542
dee	0.14430311475194063
sick	0.13134683243733777
scientist	0.12149189049210761
bird	0.11922250944312197
1976	0.11557068833536943
news	0.11417070819553206
dave	0.11123735241055559
person	0.10829497623227925
types	0.10633724909048714
outbreak	0.1050774659498702
25	0.10420837335558948
