word	value
today	0.43040945501172495
arm	0.3272732289031887
sick	0.268044774849429
year	0.23049347216872182
universal	0.2186040517922404
don	0.19151164367160672
time	0.16164941725409196
vaccines	0.15574849826140938
blueprint	0.13343361887900093
free	0.11998535285121206
scientists	0.11789068798059614
hurts	0.11293954819353552
repeat	0.1087199620469999
immune	0.10800469913879596
feel	0.10675298904943904
sore	0.10640996265986762
season	0.10639535759533708
news	0.10335549023547029
kids	0.1004944386026545
children	0.09512996679112491
