word	value
effective	0.5013925415960255
23	0.3804217824904849
year	0.31905921541177856
percent	0.26487004122603547
cdc	0.2290978228523378
season	0.1923611770161675
health	0.1429932959974819
vaccines	0.12071989655350461
hse	0.11586698526917633
doesn	0.11551312785231513
working	0.11475647042582057
immune	0.10596738523346771
work	0.10519601209255075
preschoolers	0.09231822512218135
strain	0.08735800820884598
news	0.08562241864178283
mismatch	0.08536486538246152
york	0.08230143356459235
confiscate	0.0796752563346248
neosine	0.0763198732296084
