word	value
vaccines	0.3116236938827491
takeda	0.28201348851328456
immune	0.23055086295390384
year	0.21957225043228937
health	0.1781913263123579
system	0.1655236964797258
tokyo	0.16413454139473627
season	0.15032254068056733
patch	0.14966897546577626
sick	0.125831789670812
study	0.12245375504877676
work	0.11992022908225033
don	0.11654219446021512
contraindications	0.11435406103740173
patches	0.1047101586749791
kids	0.10303005597207424
intensive	0.09973748132536049
fold	0.09873917312386503
swine	0.0979630040390214
people	0.09458496941698617
