word	value
nasal	0.38435593965404025
panel	0.35537670007797534
cdc	0.30913375455231257
contr	0.30496399736041563
spray	0.28397823568158337
flumist	0.28053607284544874
season	0.1871289660889999
bird	0.17064183251287657
vaccines	0.16610787077944264
don	0.16610787077944264
kids	0.13148489026958363
advisors	0.1289302197728185
centers	0.12771474874025823
painful	0.1172159361863667
disease	0.11086462578383331
immune	0.11046379496002637
ineffective	0.10632226181960401
news	0.10510547654778629
work	0.0799625978441982
symptoms	0.07584081445016735
