word	value
sick	0.5001745196558275
immune	0.2847883628662367
system	0.2620531574273354
year	0.19863390015040042
time	0.18307823327115216
today	0.1687191561518461
night	0.15171221895412376
don	0.14837713023282922
good	0.14598395071294487
season	0.1364112326334075
arm	0.12099612879490514
people	0.11726579647433277
laughter	0.11272356777897137
repeat	0.10529989887491106
strengthens	0.10396028861134556
kids	0.09812036031525803
hoping	0.0912696306482292
damn	0.08735105247577848
weekend	0.08631948677873899
lol	0.08495787295589415
