word	value
nasal	0.33305671710712875
pregnancy	0.3009716437853401
spray	0.24893902435135637
verbal	0.2276286702779662
weeks	0.18286884685691548
programmable	0.18240486869065312
children	0.17905907921406308
news	0.17524931157121068
bird	0.16572489246407968
newborn	0.1498306854451786
percent	0.1495060482363598
ineffective	0.14700786444667555
vaccines	0.14667605424981764
30	0.14061043343013482
completely	0.13643662465190703
year	0.1352467513212604
protect	0.12854820660275146
infants	0.1277361318541069
cdc	0.1276272160355556
today	0.1257223322141294
