word	value
today	0.3192148057178899
sick	0.29776847279260205
arm	0.2648051061883885
don	0.2325541134891757
year	0.22846909769388282
mom	0.1496197316104048
people	0.14399680678407556
gloom	0.14070562792500838
immune	0.13713981598483385
news	0.13641034887853157
late	0.1286406978252227
didn	0.12138332648870401
system	0.11598526990206694
feel	0.1130674014768577
time	0.1123379343705554
lol	0.10022878040593709
doom	0.09901769935348363
exposes	0.0940683323071464
hospital	0.09205481128777403
ve	0.09191285539409079
