word	value
texting	0.4955483233210233
stokes	0.30988771468238613
fails	0.30965627662338807
boost	0.266615184095722
pregnant	0.25859668231840705
women	0.2565920568740783
trevor	0.23310178466927173
health	0.18242091543391503
text	0.15228997210986295
york	0.1429792740356767
reuters	0.14137751612618615
message	0.13298889595209268
swine	0.12829602843703916
91m	0.11342840962124322
immune	0.08619889410613567
crl	0.07852736050701453
30s	0.07569304986850961
30	0.06891890189345293
system	0.06815726510717704
save	0.06763955966242796
