word	value
today	0.49549467159686145
arm	0.35138304552971966
year	0.2771579853197736
sick	0.20958549489408937
don	0.2083669745749377
free	0.14832715521310028
time	0.12672611319177499
risk	0.12340287595772494
stroke	0.11888435642145041
sore	0.11609607816020286
season	0.1073405626598164
feel	0.10490352202151304
awards	0.10400072843779795
vaccines	0.09847859670234961
hurts	0.09733174772896
work	0.09582000691510958
clinic	0.08960995741911883
contracts	0.0859701616764926
yesterday	0.08438202754083038
hype	0.07963313548339002
