word	value
vaccines	0.24657339355055963
tosses	0.196471222548176
year	0.1947675025979162
health	0.19080421039388887
immune	0.18938874889245053
patients	0.1889288088388068
statin	0.18782694497394112
season	0.17155393397432736
judge	0.16494701662978042
free	0.1438108885461358
widespread	0.1360438995460063
people	0.13531811953750575
system	0.13531811953750575
time	0.1313548273334784
don	0.12399442752599898
staffers	0.11367875988129056
city	0.11140608469613554
effective	0.10814125870988954
requirement	0.10318356208687122
blocks	0.10022633051894919
