word	value
season	0.3116964877237275
health	0.29270248300306284
beware	0.26261374787705577
don	0.25471447356173355
make	0.2435128810341621
vaccinated	0.22695400512383906
start	0.22013564445488254
hospitals	0.21283482623792285
dose	0.2046667766278693
high	0.18664542028200953
nyc	0.17849599272388791
save	0.1369424904444381
immune	0.13588018761706244
30	0.13493626690572724
vaccines	0.13393208456878916
workers	0.1299708727490849
worker	0.11901679057898004
year	0.11006782222744127
protect	0.10606818350787388
elderly	0.08815179480337654
