word	value
year	0.3285311504023093
vaccines	0.24377710362299013
navy	0.2357118137375342
proves	0.21084604489490416
seasonal	0.2066425985908142
sick	0.19135192004815355
swine	0.18610940169066986
immune	0.18392501904171835
today	0.17475061191612196
don	0.16994497008842863
effective	0.15159615583723582
news	0.1424217487116394
didn	0.12232542834128537
system	0.12188855181149506
kashmir	0.11272343840464069
bird	0.11184039162631805
time	0.10921913244757622
health	0.1065978732688344
kids	0.1061609967390441
cdc	0.10397661409009257
