word	value
swine	0.34116574139229106
killed	0.3104803486628143
sick	0.1837642743408477
today	0.18143814428590024
person	0.16464866974543182
1976	0.1632926491756629
outbreak	0.16205372716133826
immune	0.15895222042140833
dee	0.15753433241207773
25	0.15680825690041125
sues	0.1562936970858116
year	0.14266931003677624
time	0.14111855666681128
night	0.13002000526618232
don	0.12871252970709163
vaccines	0.12793715302210915
arm	0.12387852295132488
dave	0.12143675541174163
news	0.12018338617228436
bird	0.12018338617228436
