word	value
today	0.4498023636835115
arm	0.41242699004020117
sick	0.32226162894873517
don	0.19776794248407295
year	0.16091316816935947
hurts	0.1527927781916275
feel	0.13508580664172554
sore	0.12877553354673446
mom	0.12455299379135598
time	0.1194152726811387
immune	0.11781919977774559
lol	0.10171337320714244
didn	0.09968200769373303
yesterday	0.0992521105331398
system	0.09692515449696312
repeat	0.09663495942361892
teenage	0.0882509256499413
hate	0.0848035575393939
tomorrow	0.08406996275099085
free	0.08241540082975307
