word	value
free	0.33514679830687677
ebola	0.2741914916856278
health	0.2569659250796894
vaccines	0.22526401055130246
heart	0.2106502101077758
today	0.18814957403026406
season	0.1842834868926559
disease	0.1825203826315537
year	0.17775409528247324
don	0.17526261690490352
prevent	0.16383618158708382
passage	0.15310498714758788
clinic	0.1482055082196243
people	0.13685948467132905
immune	0.11572487498573775
time	0.10782087461551662
uber	0.10720549952773087
work	0.09828452634274981
sick	0.08539756921738927
winter	0.08299200388732196
