word	value
today	0.4706619695507868
arm	0.37699156747700435
sick	0.25618488700090886
don	0.1993491670371311
year	0.19835949032134392
toddlers	0.16857258713727694
work	0.13600985722675185
immune	0.1299304145440592
hurts	0.1264378740891417
free	0.11876120589446107
sore	0.11434716179708947
time	0.1099954978403461
vaccines	0.10858167396065012
mom	0.10836060506307287
feel	0.1053298790373494
good	0.10518849664937982
didn	0.09500896471556886
repeat	0.08850537486896742
yesterday	0.085724231284038
day	0.08515046255924048
