word	value
damaged	0.3712701658754238
swine	0.2910591064061048
brain	0.28035902104153476
bird	0.27756853368739776
usda	0.2712547797505078
million	0.25406969267606516
63	0.20884809711955343
eyeing	0.19554036201126915
victims	0.18661114177131743
children	0.1821227317025453
lawsuit	0.17310692151634155
potential	0.14277962886533577
spreading	0.13916050255262524
financial	0.13545224372426726
hundreds	0.1351268647974767
starts	0.13268095578414127
recalls	0.13116653811637977
compensation	0.127038150192222
receive	0.12447709775404536
win	0.12387624339725918
