word	value
year	0.27377599035720773
sick	0.25422056247455005
stroke	0.23399114121219736
patent	0.21150873767301107
protect	0.2034782988057872
doctors	0.1983211255188891
arm	0.19483160424876203
ve	0.18405108595442538
today	0.18002496844917232
attack	0.17929551853756312
heart	0.17525009550325024
immune	0.17369821236948896
additional	0.15535362773516753
vaccines	0.14263959161467965
system	0.14206443197107207
don	0.1386134741094266
receives	0.1340735847192625
universal	0.11689896254925723
cold	0.10928033228544005
robocalls	0.10123942145466482
