word	value
year	0.34477592246920535
immune	0.3159671526671963
system	0.24719783120433592
sick	0.23976330996510778
vaccines	0.2100252250081952
swine	0.19701481283954594
2015	0.1844922574849298
don	0.1449731641649489
today	0.14218521870023834
time	0.1301041216864926
season	0.12266960044726444
82	0.1115592610517969
70070	0.10921242130323865
ma09	0.10921242130323865
tbif	0.10921242130323865
cold	0.10872987312371167
free	0.10594192765900111
overhaul	0.10373473851512899
years	0.09850740641977297
didn	0.09664877610996592
