word	value
immune	0.2657280670671598
winds	0.2534050035368581
neosine	0.22849137542480055
health	0.21407251758120718
aims	0.20427276997252988
winding	0.1990943414849916
paradox	0.18992552312713015
cold	0.1733441035634369
vaccines	0.17086066368430458
groprinosin	0.16044342052600624
year	0.15496664845785765
warts	0.15372787654102246
50	0.15268044729258612
people	0.14900639274794006
globally	0.14661101286233116
infections	0.14327508116673715
winter	0.14205276108636952
viral	0.14177401084797334
fda	0.1381397735980369
deals	0.13082303998798678
