word	value
supplier	0.3877223487955448
today	0.37727273496830793
arm	0.25784243491162656
season	0.22536203195009546
2m	0.2027045791333964
short	0.18761395139023918
sick	0.1820980863102932
year	0.17333400729001167
don	0.14871111861398276
immune	0.13952970249749738
free	0.1322958594966301
time	0.13076562347721588
give	0.12784426380378872
cdc	0.12436645466875638
30	0.11070485339631755
system	0.10975965630162057
2014	0.10484374439439584
falls	0.10147783453046498
15	0.10010546522742411
order	0.0906083576884598
