word	value
year	0.29658623873284934
health	0.2857803835232029
uber	0.2542520542516021
free	0.25175343520346516
immune	0.22347428220800744
vaccines	0.2016326599757433
people	0.16875527072086158
season	0.1522016201869351
today	0.14990250205722308
statin	0.14758185792512082
groprinosin	0.12504891166756865
clinic	0.12158756708937399
paralyzed	0.11084461896468656
system	0.1094380229742917
cold	0.10277058039812687
boost	0.0889758716198548
officials	0.0882307832591774
healthy	0.08529728261231559
prevent	0.08506737079934439
don	0.08276825266963238
