word	value
year	0.4497281754466848
involved	0.37700324983380856
cdc	0.35799628033074954
week	0.3006871044773863
national	0.2828529507408233
sick	0.18578964964150385
work	0.16067036801746476
today	0.15201817101362908
season	0.1296899206811499
effective	0.12708495814236065
arm	0.11589917705828472
don	0.11433924857757047
make	0.10029105774338563
good	0.09861643896844971
immune	0.08903389820076073
late	0.08767697485253358
time	0.08559162627450352
match	0.07137624565266416
ve	0.0699618510417681
didn	0.06838026664321749
