word	value
swine	0.40429814709018363
sweden	0.3177173439467968
91m	0.2274486006678524
sick	0.18152161706089878
narcolepsy	0.17252424814209943
immune	0.16501965187354434
system	0.1622693243423186
affirms	0.16030321476826037
killed	0.14739626522676927
night	0.1462316408318617
bird	0.14301703162373844
year	0.13751637656128696
texas	0.13426267503267886
dee	0.12724870093158644
time	0.126515066436384
today	0.11001310124902958
notes	0.105444012925751
vaccines	0.10176211865535235
don	0.10176211865535235
glaxosmithkline	0.10026081514704714
