word	value
pell	0.379438713922732
debated	0.24068487066704705
immune	0.23562162593955877
sick	0.23233196973097855
providence	0.18911397333744223
gover	0.18265344064642594
ri	0.1667669957962072
year	0.15420263477719814
bid	0.14989006768335023
vaccines	0.14803452938611023
tired	0.14100965406904678
candidate	0.13025222045978255
time	0.1258293499781937
cold	0.1217172797174684
system	0.115960381352453
season	0.11554917432638048
ap	0.11505947546997143
rolls	0.11341157162870705
h1n1	0.11267072514387277
begins	0.11014900349312134
