word	value
reprogrammed	0.39116778562285737
insect	0.2863033934657299
approves	0.2644655011131937
fda	0.262282020694973
gmo	0.24193163915477273
virus	0.23097321131492876
vaccines	0.17213979327191747
compares	0.1623359438787738
elderberries	0.15416511328095672
egg	0.15315870696818806
cocktails	0.14666048902260523
immune	0.13710783534289567
strain	0.11959185637838475
poison	0.11883406959908067
abortion	0.11090022166842876
system	0.10871986943489524
30	0.10199504684846647
allergy	0.09769606312214373
effective	0.09724388321676741
save	0.0951066164237942
