word	value
unravel	0.3451395688958975
lifelong	0.27238657607537237
haemophilus	0.2710284685976887
unlock	0.2618300177830946
scientists	0.22064687869322458
reduces	0.20600103642985823
cancer	0.19544229228132504
risk	0.19226294648122644
vaccines	0.17363539457301072
hitman	0.1650878494332179
immune	0.16299107919688746
clue	0.1451330327632484
virus	0.1149576954303241
bird	0.11442639029332508
bakalar	0.10314515852061303
reliable	0.10057658211351798
wxia	0.09118888575949227
health	0.08981141098604004
dog	0.08745150679914387
nicholas	0.08723047200949358
