word	value
prn	0.4730369401869198
protocol	0.40040077847095057
totalwellness	0.23092413595189817
canadian	0.23073569892977203
reveals	0.22898479652348366
screenings	0.21663940273164747
wellness	0.19941111431565367
work	0.18363592823111152
doesn	0.1779196347453182
nurse	0.17666029287499718
scientists	0.1589547116709723
thought	0.15791260754504147
disappointing	0.15719437969600283
pregnancy	0.15148177737352395
effective	0.10503689280145291
rn	0.10010224244226877
2015	0.0997549502814839
protect	0.0979000520946958
protection	0.09646245257276288
shows	0.09487302082215027
