word	value
immune	0.4226368410800589
system	0.31652801714932066
evading	0.2703334482756167
health	0.23020219429041502
swine	0.19842949559929005
strain	0.1864397979799976
capable	0.1841393339036937
30	0.1727624237175514
save	0.1722416383655848
vaccines	0.16605731202720042
h1n1	0.11989697619292451
virus	0.11646231775608937
created	0.1155523188701063
inspection	0.10832975666884391
scientist	0.10747326333544029
dangerous	0.09929944987624462
sunnybrook	0.0978986406275739
defenseless	0.0932788801339299
year	0.08632582285890565
plant	0.08544954494855425
