word	value
immune	0.3185894774184637
sick	0.2854161133650677
system	0.2728978627788805
year	0.24347997390134068
kids	0.17713324579454862
today	0.16398908267905205
relaxes	0.15408639948322891
body	0.15189765892227608
helps	0.14463575856250374
don	0.14145623162391513
cuts	0.13796439282088385
boost	0.13582301886013093
smiling	0.1310085795040866
colds	0.12831206850841861
fight	0.12455659333256244
cdc	0.11829746803946885
curbs	0.11791196568415255
time	0.11454199286361269
risk	0.11266425527568463
arm	0.11265743036735476
