word	value
vaccines	0.3062005317912488
decimating	0.2911078861829372
bird	0.2480533600975571
immune	0.21712401345197643
grohskopf	0.2019329813087382
midwest	0.1937613553562594
paralyzed	0.1730746178732259
haemophilus	0.171506855937705
universal	0.16513185597698535
breakthrough	0.16261833571065018
system	0.1620697764228428
closer	0.15949639783167152
women	0.15464673322790343
australian	0.14683621481338532
chinese	0.1293194006332078
scientific	0.12823830981440926
reality	0.12477546714890246
apocalypse	0.11270847052744017
risk	0.10948988712535562
kids	0.10701553939370917
