word	value
bird	0.5947378363123326
sick	0.18960307043199703
case	0.16495724171848944
races	0.1497852163950964
night	0.14360355484960616
closely	0.14232210669277684
immune	0.1377458203993141
h7n9	0.13610627374991988
time	0.13504492196011184
experts	0.1334808501291874
today	0.12694222664250512
speeding	0.1263042826941022
dee	0.12387515361003232
preparing	0.11380100837470362
year	0.11019665631945126
china	0.10804424186305588
vaccines	0.10533503912888724
system	0.10425467975320633
debate	0.10421547394616185
don	0.10209396100184455
