word	value
spray	0.45008133860948346
spurns	0.3688570337537495
panel	0.3311480443343974
astrazeneca	0.2806059370926918
fails	0.2650309473154893
work	0.23276558777594392
nasal	0.2062259760258942
urges	0.2047818306917315
flumist	0.18282438025567746
ouch	0.15051179015952307
ouchless	0.14502390989038993
kids	0.12965947183150273
nose	0.10631407770315551
year	0.10536597601993576
vaccines	0.09660901822739419
news	0.09463164066133642
sibongile	0.09131003511461908
walaza	0.085938856578465
bird	0.07683524256681643
cdc	0.07401041747244817
