word	value
today	0.38969358321372394
arm	0.27940225638268046
don	0.2723725381710566
year	0.22375469710537524
fx	0.21306902013008092
sick	0.2070481802912994
impression	0.19362125905461236
uber	0.19110580771063024
work	0.16049518961836898
cold	0.14341324546015663
free	0.13308899349640188
false	0.10174448418909501
experts	0.09820401315217012
day	0.09690380151619431
time	0.09479540439447524
claiming	0.09267965539143945
feel	0.09141655829724643
immune	0.08728685751174453
questioned	0.08697543985778694
sore	0.0861778866803422
