word	value
sick	0.364344209632091
today	0.3192754891207462
don	0.24555483288913083
year	0.23680437684483194
arm	0.20210005988502225
grows	0.1559899293209654
time	0.14364686692189774
insight	0.14313214394198673
immune	0.1424078642961563
repeat	0.13729697846497285
swine	0.13148915365680988
ve	0.12831420942834745
people	0.12289357294072868
mom	0.12276093078510251
lol	0.12041556768924579
narcolepsy	0.11860536807547208
system	0.11724062346078336
didn	0.11398824156821209
feel	0.11298155193479718
gsk	0.10494111982059189
