text,size
<url>,110
shots,43
<hashtag>,40
30,22
shot,21
save,21
health,20
vaccines,19
times,18
swine,18
news,18
season,17
<user>,17
mercury,16
$,14
narcolepsy,14
25,000,13
officials,13
million,13
water,13
short,12
link,12
uber,12
immunizations,12
allowed,12
free,11
drinking,11
medical,11
legally,11
gsk,11
day,11
boston,11
aid,10
rite,10
supplier,10
offered,10
falls,10
tests,10
demand,10
evidence,10
cases,10
supply,10
higher,10
grows,10
natural,10
dr,10
victims,10
£,10
urge,10
