text,size
<url>,110
<hashtag>,82
immune,27
universal,26
infections,26
cold,24
viral,24
50,23
health,23
herpes,21
scientists,19
shot,17
hse,17
<user>,16
vaccines,16
closer,16
tb,15
warts,15
swine,15
neosine,15
treatment,14
groprinosin,14
tablets,14
deals,14
beauty,13
killed,13
scientist,13
italy,13
admits,12
shocking,12
step,12
hopkins,12
report,12
fear,12
reveals,12
anti-flu,12
admitted,12
johns,11
mismatch,11
chiefs,11
death,11
study,11
1976,11
outbreak,10
bird,10
respiratory,10
25,10
person,10
deaths,10
