text,size
<url>,110
shot,71
<hashtag>,67
shots,65
free,47
<user>,33
health,30
today,29
clinic,28
clinics,17
pm,14
county,14
center,14
$,14
season,13
vaccines,13
students,13
offering,12
department,11
tomorrow,11
oct,11
giving,11
pharmacy,11
call,11
october,11
staff,11
care,11
appointment,10
family,10
student,10
week,10
public,10
community,10
healthy,10
day,10
9,10
offers,10
10,10
2,10
offer,10
forget,10
news,10
bring,10
school,10
time,10
insurance,10
don't,10
walgreens,10
4,10
