text,size
immune,110
system,82
<url>,62
<user>,36
boost,33
shot,30
season,29
fight,28
<hashtag>,28
cold,27
colds,26
body,25
helps,23
relaxes,21
week,20
smiling,19
vaccination,17
national,17
system.the,15
involved,15
natural,13
systems,12
sick,12
it's,12
i,12
weak,11
virus,11
boosting,11
healthy,11
winter,11
strong,11
time,11
response,11
ways,11
vitamin,10
smile,10
people,10
strengthen,10
symptoms,10
good,10
foods,10
rt,10
shots,10
build,10
man,10
stronger,10
alternatives,10
avoid,10
prevent,10
