text,size
<url>,110
<hashtag>,45
shot,42
shots,31
<user>,21
pregnant,20
heart,17
women,16
children,16
vaccines,16
risk,16
spray,15
health,15
nasal,14
study,14
swine,14
kids,13
workers,13
reasons,13
dangerous,13
nurse,13
refusing,13
fired,12
mandatory,12
disease,12
news,12
york,11
protect,11
pregnancy,11
city,11
hospital,11
patients,11
prevent,10
safe,10
nurses,10
people,10
nyc,10
hospitals,10
h1n1,10
vaccinated,10
10,10
care,10
brain,10
egg,10
work,10
preventing,10
11,10
stroke,10
cdc,10
