text,size
<url>,110
<hashtag>,65
shot,48
effective,28
cdc,28
year,27
season,23
<user>,23
shots,20
year's,18
vaccinated,15
time,15
it's,15
work,14
virus,14
23,13
strain,13
winter,13
health,13
people,13
news,12
match,12
percent,11
kids,11
protect,11
late,11
good,11
current,11
vaccines,11
make,11
here's,11
doesn't,11
healthy,11
;,11
officials,11
don't,11
americans,10
myths,10
night,10
sick,10
protection,10
working,10
months,10
mutated,10
adults,10
barely,10
seasonal,10
strains,10
6,10
