text,size
<user>,110
shot,84
<url>,84
<hashtag>,46
shots,46
i,23
vaccines,21
year,17
people,17
don't,15
give,13
it's,12
video,12
virus,12
ebola,12
make,11
dr,11
2,11
rt,11
giving,11
season,11
news,11
kids,11
good,11
work,11
allergic,10
watch,10
today,10
types,10
vaccinated,10
reactions,10
swine,10
doesn't,10
made,10
time,10
protect,10
read,10
free,10
mercury,10
1,10
big,10
line,10
you're,10
that's,10
cons,10
live,10
government,10
4,10
pros,10
