text,size
shot,110
i,69
arm,40
today,24
<hashtag>,21
💉,18
sore,18
hurts,17
i'm,16
shots,16
😩,16
😭,16
sick,15
feel,15
😷,14
hurt,14
yesterday,13
😒,12
hate,12
bad,12
<user>,12
damn,11
feeling,11
work,11
don't,11
:(,11
can't,10
tomorrow,10
it's,10
left,10
shit,10
day,10
blood,10
😔,10
😫,10
feels,10
made,10
making,10
😖,10
stupid,10
morning,10
fuck,10
make,10
mom,10
gave,10
didn't,10
time,10
fucking,10
hurting,10
