date	topic1	topic2	topic3	topic4	topic5	topic6	topic7	topic8	topic9	topic10
20121101	0.19140075778560703	0.001059928262332716	0.001615972254317555	0.0007695806481697537	0.0008067976091675007	0.3079733685835908	0.0005775060434602209	0.492087956548487	0.0017600270656341083	0.001948105199233339
20121201	0.008134875300179265	0.003397867835250151	0.005922806647166672	0.0024670781522142236	0.023786050700438034	0.6352716859413307	0.0018513747167471007	0.26831847417515575	0.04460460374388038	0.006245182787637804
20130101	0.0042614480385528815	0.05099033699075427	0.00311748495561756	0.0014562423882525264	0.0021239548200726434	0.8761267581591783	0.0010927883672216178	0.05381425658711789	0.003330419006177235	0.0036863106870550877
20130201	0.006678248446929437	0.006925309421965396	0.004976994575049671	0.002332207634990504	0.008585951497803293	0.38747357089104834	0.0017501451401085973	0.5663230469478944	0.005335141063982667	0.009619384380227832
20130301	0.007564923953043685	0.22323116285992103	0.0825934554565675	0.0020472310068001625	0.005972644887036972	0.6355440952559053	0.001536203762862101	0.007009958391021026	0.00481479946325398	0.029685524963588478
20130401	0.15463059153107936	0.0014429252766915714	0.0029705522922547347	0.03441865913505637	0.001012522246446121	0.757560111811997	0.004528564028393395	0.007121820215211272	0.00316358904972841	0.03315066441314179
20130501	0.018691913501060343	0.0018940828667894385	0.004740774937941752	0.0014315301268979274	0.16380752054893988	0.17917840434077165	0.0010307046345031678	0.137043427164852	0.0031412234002715506	0.4890404184779723
20130601	0.32663758966181033	0.0020552413026348293	0.006124186803979577	0.06073087549949985	0.09036318197143493	0.44711201527528344	0.000819636722352398	0.0032495612014561536	0.058175267577789874	0.00473244398375868
20130701	0.34485489779533046	0.004826957209372194	0.002905398780623588	0.043088421194723926	0.0008142913908123295	0.10380496108035073	0.4912892198102548	0.002365167722103674	0.0017763557114108526	0.004274329305017427
20130801	0.013788536461638091	0.018294313905239327	0.003031350392057029	0.001439952736124942	0.001515034930539646	0.7963539898793952	0.031623553515385046	0.09339747102936351	0.03308326910531193	0.007472528044945211
20130901	0.24875864871029207	0.0020563914412771085	0.003397114195164924	0.0065261103835633286	0.0015649656157518503	0.10110145362427145	0.0011344174695262456	0.6248557313156613	0.00558480912802505	0.005020358116466735
20131001	0.03890302813561004	0.0020327639499933205	0.03207223337743603	0.10317335475825504	0.0008221966264708434	0.029663982859397465	0.025078326570885545	0.7529491075051198	0.010464255786606825	0.004840750430225197
