text,size
shot,110
i,99
<user>,49
shots,26
i'm,23
sick,23
<hashtag>,22
year,18
don't,17
today,17
time,14
lol,13
mom,13
😂,13
didn't,13
work,13
it's,12
i've,12
day,11
feel,11
people,11
good,11
give,11
haven't,11
<url>,11
years,11
im,11
make,11
💉,11
shit,10
2,10
doctor,10
week,10
hope,10
told,10
that's,10
ago,10
can't,10
free,10
gave,10
fuck,10
gonna,10
tomorrow,10
i'll,10
😷,10
bad,10
rt,10
thing,10
cold,10
